id,clee,nombre_de_la_unidad_economica,codigo_de_la_clase_actividad_scian,latitud,longitud,source_path,source_file,source_folder,layer_type,texto_busqueda,codigo_scian_detectado,palabras_clave_detectadas,categoria_relevancia_ambiental,nota_metodologica,distancia_hidrografia_m,en_buffer_100m,en_buffer_250m,en_buffer_500m,en_buffer_1000m,rango_distancia_hidrografia,localidad,municipio,actividad_denue_original,codigo_scian_original,texto_busqueda_normalizado,etapa_productiva_sugerida,etapa_productiva_secundaria,subtipo_confeccion,presion_ambiental_potencial,confianza_clasificacion,evidencia_clasificacion,palabras_clave_etapa,reglas_activadas,tiene_senal_proceso_humedo,tiene_senal_mezclilla_jeans,tiene_senal_lavado_deslavado,tiene_senal_tenido_tintoreria,tiene_senal_acabado_tratamiento,tiene_senal_industrial,tiene_senal_maquila,es_confeccion_especializada,es_comercio_o_renta,requiere_auditoria_manual,motivo_auditoria,prioridad_auditoria,prioridad_campo,motivo_prioridad_campo,decision_estudio_sugerida,decision_alcance_proyecto,motivo_exclusion_prioritaria,flag_universo_alcance_proyecto,motivo_universo_alcance_proyecto,flag_fuera_alcance_productivo_textil,flag_estudio_prioritario,motivo_flag_estudio_prioritario,flag_proceso_humedo_relevante,flag_mezclilla_jeans,flag_lavado_deslavado,flag_tenido_tintoreria,flag_acabado_tratamiento,flag_maquila_productiva,flag_confeccion_especializada_baja_relevancia,flag_comercio_o_renta,flag_requiere_auditoria_manual,flag_prioridad_campo,flag_cercania_hidrografia_250m,flag_senal_industrial,flag_texto_ambiguo,flag_posible_falso_positivo,flag_posible_falso_negativo,query_maps,query_web,categoria_auditada,etapa_productiva_auditada,notas_auditoria,fuente_auditoria,decision_estudio,fecha_auditoria,auditor_responsable
8125959,29019315229000811000000000U2,MAQUILA DE PANTALON DE MEZCLILLA,315229,19.28132603,-98.39744602,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,29019315229000811000000000u2 maquila de pantalon de mezclilla 315229 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,315229,maquila; mezclilla; pantalon,media_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",479.7937189953456,False,False,True,True,250-500 m,San Martin Texmelucan,San Martin Texmelucan,29019315229000811000000000u2 maquila de pantalon de mezclilla 315229 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,315229,maquila de pantalon de mezclilla 29019315229000811000000000u2 maquila de pantalon de mezclilla 315229 data raw agebs san martin inegi denue shp inegi denue shp agebs san martin denue 315229 maquila mezclilla pantalon,fabricacion_mezclilla,confeccion_maquila,maquila_productiva,media,media,SCIAN 315229 | mezclilla_jeans: mezclilla | maquila: maquila | confeccion: pantalon,maquila; mezclilla,scian_prefijo_315; texto_confeccion; texto_maquila; texto_mezclilla_jeans,False,True,False,False,False,False,True,False,False,True,mezclilla/jeans sin evidencia directa de proceso humedo,alta,media,contexto productivo textil,validar_documentalmente,dentro_alcance_proyecto,,True,senal de mezclilla/jeans,False,True,contexto productivo textil,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,MAQUILA DE PANTALON DE MEZCLILLA San Martin Texmelucan Puebla Google Maps,MAQUILA DE PANTALON DE MEZCLILLA San Martin Texmelucan Puebla mezclilla jeans maquila textil,,,,,,,
8126134,29019315229000841010000000U9,MAQUILA PANTALON DE MEZCLILLA DESLAVADO,313310,19.28289662,-98.39890087,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,29019315229000841010000000u9 maquila pantalon de mezclilla deslavado 313310 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,313310,deslavado; maquila; mezclilla; pantalon,alta_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",277.6758097941454,False,False,True,True,250-500 m,San Martin Texmelucan,San Martin Texmelucan,29019315229000841010000000u9 maquila pantalon de mezclilla deslavado 313310 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,313310,maquila pantalon de mezclilla deslavado 29019315229000841010000000u9 maquila pantalon de mezclilla deslavado 313310 data raw agebs san martin inegi denue shp inegi denue shp agebs san martin denue 313310 deslavado maquila mezclilla pantalon,lavado_deslavado,confeccion_maquila; fabricacion_mezclilla; fabricacion_textil,maquila_productiva,alta,alta,SCIAN 313310 | lavado_deslavado: deslavado | mezclilla_jeans: mezclilla | maquila: maquila | confeccion: pantalon,deslavado; maquila; mezclilla,scian_prefijo_313; texto_confeccion; texto_lavado_deslavado; texto_maquila; texto_mezclilla_jeans,True,True,True,False,False,False,True,False,False,False,,alta,alta,proceso humedo o tratamiento; senal compatible con proceso humedo o tratamiento de prendas,incluir_prioritario,dentro_alcance_proyecto,,True,senal de proceso humedo o tratamiento; senal especifica de lavado/deslavado/lavanderia; senal de mezclilla/jeans,False,True,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,True,True,True,False,False,True,False,False,False,True,False,False,False,False,False,MAQUILA PANTALON DE MEZCLILLA DESLAVADO San Martin Texmelucan Puebla Google Maps,MAQUILA PANTALON DE MEZCLILLA DESLAVADO San Martin Texmelucan Puebla lavado deslavado mezclilla jeans,,,,,,,
9801137,29019315229000941000000000U7,MAQUILA DE PANTALON DE MEZCLILLA,315229,19.27832061,-98.39410911,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,29019315229000941000000000u7 maquila de pantalon de mezclilla 315229 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,315229,maquila; mezclilla; pantalon,media_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",208.04590254244556,False,True,True,True,100-250 m,San Martin Texmelucan,San Martin Texmelucan,29019315229000941000000000u7 maquila de pantalon de mezclilla 315229 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,315229,maquila de pantalon de mezclilla 29019315229000941000000000u7 maquila de pantalon de mezclilla 315229 data raw agebs san martin inegi denue shp inegi denue shp agebs san martin denue 315229 maquila mezclilla pantalon,fabricacion_mezclilla,confeccion_maquila,maquila_productiva,media,media,SCIAN 315229 | mezclilla_jeans: mezclilla | maquila: maquila | confeccion: pantalon,maquila; mezclilla,scian_prefijo_315; texto_confeccion; texto_maquila; texto_mezclilla_jeans,False,True,False,False,False,False,True,False,False,True,mezclilla/jeans sin evidencia directa de proceso humedo,alta,media,actividad productiva o ambigua cerca de hidrografia,validar_documentalmente,dentro_alcance_proyecto,,True,senal de mezclilla/jeans,False,True,actividad productiva o ambigua cerca de hidrografia,False,True,False,False,False,True,False,False,True,True,True,False,False,False,False,MAQUILA DE PANTALON DE MEZCLILLA San Martin Texmelucan Puebla Google Maps,MAQUILA DE PANTALON DE MEZCLILLA San Martin Texmelucan Puebla mezclilla jeans maquila textil,,,,,,,
10239605,29019315229001263000000000U5,ARMADO DE PANTALON DE MEZCLILLA SIN NOMBRE,315229,19.27660928,-98.38876228,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,29019315229001263000000000u5 armado de pantalon de mezclilla sin nombre 315229 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,315229,mezclilla; pantalon,media_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",378.3881304139913,False,False,True,True,250-500 m,San Martin Texmelucan,San Martin Texmelucan,29019315229001263000000000u5 armado de pantalon de mezclilla sin nombre 315229 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,315229,armado de pantalon de mezclilla sin nombre 29019315229001263000000000u5 armado de pantalon de mezclilla sin nombre 315229 data raw agebs san martin inegi denue shp inegi denue shp agebs san martin denue 315229 mezclilla pantalon,fabricacion_mezclilla,confeccion_maquila,generica,media,media,SCIAN 315229 | mezclilla_jeans: mezclilla | confeccion: pantalon,mezclilla,scian_prefijo_315; texto_confeccion; texto_mezclilla_jeans,False,True,False,False,False,False,False,False,False,True,mezclilla/jeans sin evidencia directa de proceso humedo,media,media,contexto productivo textil,validar_documentalmente,dentro_alcance_proyecto,,True,senal de mezclilla/jeans,False,False,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,ARMADO DE PANTALON DE MEZCLILLA SIN NOMBRE San Martin Texmelucan Puebla Google Maps,ARMADO DE PANTALON DE MEZCLILLA SIN NOMBRE San Martin Texmelucan Puebla mezclilla jeans maquila textil,,,,,,,
10430565,29019315229001541000000000U4,ARMADO DE PANTALON DE MEZCLILLA SIN NOMBRE,315229,19.27335133,-98.38222725,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,29019315229001541000000000u4 armado de pantalon de mezclilla sin nombre 315229 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,315229,mezclilla; pantalon,media_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",502.62384413375014,False,False,False,True,500-1000 m,San Martin Texmelucan,San Martin Texmelucan,29019315229001541000000000u4 armado de pantalon de mezclilla sin nombre 315229 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,315229,armado de pantalon de mezclilla sin nombre 29019315229001541000000000u4 armado de pantalon de mezclilla sin nombre 315229 data raw agebs san martin inegi denue shp inegi denue shp agebs san martin denue 315229 mezclilla pantalon,fabricacion_mezclilla,confeccion_maquila,generica,media,media,SCIAN 315229 | mezclilla_jeans: mezclilla | confeccion: pantalon,mezclilla,scian_prefijo_315; texto_confeccion; texto_mezclilla_jeans,False,True,False,False,False,False,False,False,False,True,mezclilla/jeans sin evidencia directa de proceso humedo,media,media,contexto productivo textil,validar_documentalmente,dentro_alcance_proyecto,,True,senal de mezclilla/jeans,False,False,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,ARMADO DE PANTALON DE MEZCLILLA SIN NOMBRE San Martin Texmelucan Puebla Google Maps,ARMADO DE PANTALON DE MEZCLILLA SIN NOMBRE San Martin Texmelucan Puebla mezclilla jeans maquila textil,,,,,,,
10815667,29019315229001611000000000U5,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE,315229,19.27660577,-98.39256681,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,29019315229001611000000000u5 maquila de pantalon de mezclilla sin nombre 315229 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,315229,maquila; mezclilla; pantalon,media_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",12.675830703052847,True,True,True,True,0-100 m,San Martin Texmelucan,San Martin Texmelucan,29019315229001611000000000u5 maquila de pantalon de mezclilla sin nombre 315229 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,315229,maquila de pantalon de mezclilla sin nombre 29019315229001611000000000u5 maquila de pantalon de mezclilla sin nombre 315229 data raw agebs san martin inegi denue shp inegi denue shp agebs san martin denue 315229 maquila mezclilla pantalon,fabricacion_mezclilla,confeccion_maquila,maquila_productiva,media,media,SCIAN 315229 | mezclilla_jeans: mezclilla | maquila: maquila | confeccion: pantalon,maquila; mezclilla,scian_prefijo_315; texto_confeccion; texto_maquila; texto_mezclilla_jeans,False,True,False,False,False,False,True,False,False,True,mezclilla/jeans sin evidencia directa de proceso humedo,alta,media,actividad productiva o ambigua cerca de hidrografia,validar_documentalmente,dentro_alcance_proyecto,,True,senal de mezclilla/jeans,False,True,actividad productiva o ambigua cerca de hidrografia,False,True,False,False,False,True,False,False,True,True,True,False,False,False,False,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE San Martin Texmelucan Puebla Google Maps,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE San Martin Texmelucan Puebla mezclilla jeans maquila textil,,,,,,,
10913117,29019315229001671000000000U9,MAQUILA DE PANTALON DE MEZCLILLA,315229,19.28036492,-98.39786964,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,29019315229001671000000000u9 maquila de pantalon de mezclilla 315229 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,315229,maquila; mezclilla; pantalon,media_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",740.0264249081165,False,False,False,True,500-1000 m,San Martin Texmelucan,San Martin Texmelucan,29019315229001671000000000u9 maquila de pantalon de mezclilla 315229 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,315229,maquila de pantalon de mezclilla 29019315229001671000000000u9 maquila de pantalon de mezclilla 315229 data raw agebs san martin inegi denue shp inegi denue shp agebs san martin denue 315229 maquila mezclilla pantalon,fabricacion_mezclilla,confeccion_maquila,maquila_productiva,media,media,SCIAN 315229 | mezclilla_jeans: mezclilla | maquila: maquila | confeccion: pantalon,maquila; mezclilla,scian_prefijo_315; texto_confeccion; texto_maquila; texto_mezclilla_jeans,False,True,False,False,False,False,True,False,False,True,mezclilla/jeans sin evidencia directa de proceso humedo,alta,media,contexto productivo textil,validar_documentalmente,dentro_alcance_proyecto,,True,senal de mezclilla/jeans,False,True,contexto productivo textil,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,MAQUILA DE PANTALON DE MEZCLILLA San Martin Texmelucan Puebla Google Maps,MAQUILA DE PANTALON DE MEZCLILLA San Martin Texmelucan Puebla mezclilla jeans maquila textil,,,,,,,
10917400,29019315123000041000000000U1,ARMADO DE PANTALON DE MEZCLILLA,315123,19.2757166,-98.39092408,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,29019315123000041000000000u1 armado de pantalon de mezclilla 315123 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,315123,mezclilla; pantalon,media_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",1139.6271506154606,False,False,False,False,>1000 m,San Martin Texmelucan,San Martin Texmelucan,29019315123000041000000000u1 armado de pantalon de mezclilla 315123 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,315123,armado de pantalon de mezclilla 29019315123000041000000000u1 armado de pantalon de mezclilla 315123 data raw agebs san martin inegi denue shp inegi denue shp agebs san martin denue 315123 mezclilla pantalon,fabricacion_mezclilla,confeccion_maquila,generica,media,media,SCIAN 315123 | mezclilla_jeans: mezclilla | confeccion: pantalon,mezclilla,scian_prefijo_315; texto_confeccion; texto_mezclilla_jeans,False,True,False,False,False,False,False,False,False,True,mezclilla/jeans sin evidencia directa de proceso humedo,media,media,contexto productivo textil,validar_documentalmente,dentro_alcance_proyecto,,True,senal de mezclilla/jeans,False,False,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,ARMADO DE PANTALON DE MEZCLILLA San Martin Texmelucan Puebla Google Maps,ARMADO DE PANTALON DE MEZCLILLA San Martin Texmelucan Puebla mezclilla jeans maquila textil,,,,,,,
11242024,29019315229001381000000000U5,ARMADO DE PANTALON DE MEZCLILLA SIN NOMBRE,315229,19.28095325,-98.39225397,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,29019315229001381000000000u5 armado de pantalon de mezclilla sin nombre 315229 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,315229,mezclilla; pantalon,media_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",106.05999727558432,False,True,True,True,100-250 m,San Martin Texmelucan,San Martin Texmelucan,29019315229001381000000000u5 armado de pantalon de mezclilla sin nombre 315229 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,315229,armado de pantalon de mezclilla sin nombre 29019315229001381000000000u5 armado de pantalon de mezclilla sin nombre 315229 data raw agebs san martin inegi denue shp inegi denue shp agebs san martin denue 315229 mezclilla pantalon,fabricacion_mezclilla,confeccion_maquila,generica,media,media,SCIAN 315229 | mezclilla_jeans: mezclilla | confeccion: pantalon,mezclilla,scian_prefijo_315; texto_confeccion; texto_mezclilla_jeans,False,True,False,False,False,False,False,False,False,True,cercania a hidrografia requiere cautela documental; mezclilla/jeans sin evidencia directa de proceso humedo,alta,media,actividad productiva o ambigua cerca de hidrografia,validar_documentalmente,dentro_alcance_proyecto,,True,senal de mezclilla/jeans,False,False,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,ARMADO DE PANTALON DE MEZCLILLA SIN NOMBRE San Martin Texmelucan Puebla Google Maps,ARMADO DE PANTALON DE MEZCLILLA SIN NOMBRE San Martin Texmelucan Puebla mezclilla jeans maquila textil,,,,,,,
11333651,29019315229001591000000000U9,MAQUILA DE PANTALON DE MEZCLILLA,315229,19.2757891,-98.39306821,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,29019315229001591000000000u9 maquila de pantalon de mezclilla 315229 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,315229,maquila; mezclilla; pantalon,media_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",593.5500768526898,False,False,False,True,500-1000 m,San Martin Texmelucan,San Martin Texmelucan,29019315229001591000000000u9 maquila de pantalon de mezclilla 315229 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,315229,maquila de pantalon de mezclilla 29019315229001591000000000u9 maquila de pantalon de mezclilla 315229 data raw agebs san martin inegi denue shp inegi denue shp agebs san martin denue 315229 maquila mezclilla pantalon,fabricacion_mezclilla,confeccion_maquila,maquila_productiva,media,media,SCIAN 315229 | mezclilla_jeans: mezclilla | maquila: maquila | confeccion: pantalon,maquila; mezclilla,scian_prefijo_315; texto_confeccion; texto_maquila; texto_mezclilla_jeans,False,True,False,False,False,False,True,False,False,True,mezclilla/jeans sin evidencia directa de proceso humedo,alta,media,contexto productivo textil,validar_documentalmente,dentro_alcance_proyecto,,True,senal de mezclilla/jeans,False,True,contexto productivo textil,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,MAQUILA DE PANTALON DE MEZCLILLA San Martin Texmelucan Puebla Google Maps,MAQUILA DE PANTALON DE MEZCLILLA San Martin Texmelucan Puebla mezclilla jeans maquila textil,,,,,,,
11669183,29019313310000112000000000U5,LIJADO DE PANTALON DE MEZCLILLA SIN NOMBRE,313310,19.27579518,-98.39294403,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,29019313310000112000000000u5 lijado de pantalon de mezclilla sin nombre 313310 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,313310,mezclilla; pantalon,media_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",385.91486200577083,False,False,True,True,250-500 m,San Martin Texmelucan,San Martin Texmelucan,29019313310000112000000000u5 lijado de pantalon de mezclilla sin nombre 313310 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,313310,lijado de pantalon de mezclilla sin nombre 29019313310000112000000000u5 lijado de pantalon de mezclilla sin nombre 313310 data raw agebs san martin inegi denue shp inegi denue shp agebs san martin denue 313310 mezclilla pantalon,fabricacion_mezclilla,fabricacion_textil,generica,media,media,SCIAN 313310 | mezclilla_jeans: mezclilla | confeccion: pantalon,mezclilla,scian_prefijo_313; texto_confeccion; texto_mezclilla_jeans,False,True,False,False,False,False,False,False,False,True,mezclilla/jeans sin evidencia directa de proceso humedo,media,media,contexto productivo textil,validar_documentalmente,dentro_alcance_proyecto,,True,senal de mezclilla/jeans,False,False,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,LIJADO DE PANTALON DE MEZCLILLA SIN NOMBRE San Martin Texmelucan Puebla Google Maps,LIJADO DE PANTALON DE MEZCLILLA SIN NOMBRE San Martin Texmelucan Puebla mezclilla jeans maquila textil,,,,,,,
8125899,29019315229000791000000000U6,MAQUILA DE PANTALON DE MEZCLILLA,315229,19.28009214,-98.39670363,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,29019315229000791000000000u6 maquila de pantalon de mezclilla 315229 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,315229,maquila; mezclilla; pantalon,media_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",180.61540217021454,False,True,True,True,100-250 m,San Martin Texmelucan,San Martin Texmelucan,29019315229000791000000000u6 maquila de pantalon de mezclilla 315229 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,315229,maquila de pantalon de mezclilla 29019315229000791000000000u6 maquila de pantalon de mezclilla 315229 data raw agebs san martin inegi denue shp inegi denue shp agebs san martin denue 315229 maquila mezclilla pantalon,fabricacion_mezclilla,confeccion_maquila,maquila_productiva,media,media,SCIAN 315229 | mezclilla_jeans: mezclilla | maquila: maquila | confeccion: pantalon,maquila; mezclilla,scian_prefijo_315; texto_confeccion; texto_maquila; texto_mezclilla_jeans,False,True,False,False,False,False,True,False,False,True,mezclilla/jeans sin evidencia directa de proceso humedo,alta,media,actividad productiva o ambigua cerca de hidrografia,validar_documentalmente,dentro_alcance_proyecto,,True,senal de mezclilla/jeans,False,True,actividad productiva o ambigua cerca de hidrografia,False,True,False,False,False,True,False,False,True,True,True,False,False,False,False,MAQUILA DE PANTALON DE MEZCLILLA San Martin Texmelucan Puebla Google Maps,MAQUILA DE PANTALON DE MEZCLILLA San Martin Texmelucan Puebla mezclilla jeans maquila textil,,,,,,,
8126068,29019315229000831001000000U0,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE,315229,19.27837321,-98.39430744,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,29019315229000831001000000u0 maquila de pantalon de mezclilla sin nombre 315229 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,315229,maquila; mezclilla; pantalon,media_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",272.2035991005979,False,False,True,True,250-500 m,San Martin Texmelucan,San Martin Texmelucan,29019315229000831001000000u0 maquila de pantalon de mezclilla sin nombre 315229 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,315229,maquila de pantalon de mezclilla sin nombre 29019315229000831001000000u0 maquila de pantalon de mezclilla sin nombre 315229 data raw agebs san martin inegi denue shp inegi denue shp agebs san martin denue 315229 maquila mezclilla pantalon,fabricacion_mezclilla,confeccion_maquila,maquila_productiva,media,media,SCIAN 315229 | mezclilla_jeans: mezclilla | maquila: maquila | confeccion: pantalon,maquila; mezclilla,scian_prefijo_315; texto_confeccion; texto_maquila; texto_mezclilla_jeans,False,True,False,False,False,False,True,False,False,True,mezclilla/jeans sin evidencia directa de proceso humedo,alta,media,contexto productivo textil,validar_documentalmente,dentro_alcance_proyecto,,True,senal de mezclilla/jeans,False,True,contexto productivo textil,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE San Martin Texmelucan Puebla Google Maps,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE San Martin Texmelucan Puebla mezclilla jeans maquila textil,,,,,,,
8126301,29019315229000902001000000U9,MAQUILA Y FABRICACION DE PANTALON DE MEZCLILLA,315229,19.27891198,-98.39604921,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,29019315229000902001000000u9 maquila y fabricacion de pantalon de mezclilla 315229 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,315229,maquila; mezclilla; pantalon,media_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",190.1510944592448,False,True,True,True,100-250 m,San Martin Texmelucan,San Martin Texmelucan,29019315229000902001000000u9 maquila y fabricacion de pantalon de mezclilla 315229 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,315229,maquila y fabricacion de pantalon de mezclilla 29019315229000902001000000u9 maquila y fabricacion de pantalon de mezclilla 315229 data raw agebs san martin inegi denue shp inegi denue shp agebs san martin denue 315229 maquila mezclilla pantalon,fabricacion_mezclilla,confeccion_maquila,maquila_productiva,media,media,SCIAN 315229 | mezclilla_jeans: mezclilla | industrial: fabricacion | maquila: maquila | confeccion: pantalon,fabricacion; maquila; mezclilla,scian_prefijo_315; texto_confeccion; texto_industrial; texto_maquila; texto_mezclilla_jeans,False,True,False,False,False,True,True,False,False,True,mezclilla/jeans sin evidencia directa de proceso humedo,alta,media,actividad productiva o ambigua cerca de hidrografia,validar_documentalmente,dentro_alcance_proyecto,,True,senal de mezclilla/jeans,False,True,actividad productiva o ambigua cerca de hidrografia,False,True,False,False,False,True,False,False,True,True,True,True,False,False,False,MAQUILA Y FABRICACION DE PANTALON DE MEZCLILLA San Martin Texmelucan Puebla Google Maps,MAQUILA Y FABRICACION DE PANTALON DE MEZCLILLA San Martin Texmelucan Puebla mezclilla jeans maquila textil,,,,,,,
