grupo_espacial,senal,n_grupo,conteo_senal,prevalencia_grupo,prevalencia_universo,diferencia_prevalencia,lift,log2_lift,odds_ratio_fisher,or_ic95_inf,or_ic95_sup,p_fisher,p_ajustada_bh,evidencia_descriptiva_suficiente,puntaje_interpretativo
CLUSTER_004,maquila,28,17,0.6071428571428571,0.1468827930174563,0.4602600641254007,4.133519282076158,2.047370616704557,9.213286713286712,4.285268110793809,19.177303583059,2.457689196593836e-08,1.293122623438603e-07,True,3.885296979327207
CLUSTER_004,actividad_confeccion,28,22,0.7857142857142857,0.3895261845386533,0.3961881011756323,2.017102615694165,1.0122844797799964,5.814285714285714,2.2876313578820584,13.167339137230105,3.9302471620241366e-05,0.0001619451240255,True,1.8811150016243632
CLUSTER_004,scian_textil,28,26,0.9285714285714286,0.6044887780548629,0.3240826505165657,1.536126826968411,0.6192973339528196,8.587155963302752,1.9116378201008983,25.651405015800812,0.0002754499533473,0.0009612641229059,True,1.0233911722962326
CLUSTER_005,maquila,33,21,0.6363636363636364,0.1468827930174563,0.48948084334618,4.332458712764316,2.115186000932129,10.503080985915492,5.108316775532301,20.830491845860653,1.450850582668893e-10,9.166874229745182e-10,True,4.744537794085616
CLUSTER_005,actividad_confeccion,33,26,0.7878787878787878,0.3895261845386533,0.3983526033401345,2.022659372211229,1.0162533819829422,5.902715773809524,2.4897256802997223,12.660942903713089,5.059013398520459e-06,2.3380845706675635e-05,True,2.0642216923195975
CLUSTER_005,scian_textil,33,31,0.9393939393939394,0.6044887780548629,0.3349051613390765,1.554030403040304,0.6360147288977535,10.259924780610111,2.297406308305683,30.28453462935869,1.891269035471513e-05,8.085175126640719e-05,True,1.185959506717553
CLUSTER_006,maquila,20,16,0.8,0.1468827930174563,0.6531172069825437,5.446519524617997,2.44533460262446,23.85340314136125,7.675892554397475,62.19624647565292,1.0683506285778492e-10,6.893885188181592e-10,True,6.388360423215423
CLUSTER_006,scian_textil,20,20,1.0,0.6044887780548629,0.3955112219451371,1.654290429042904,0.7262125378693316,inf,1.6349073124688138,447.61555189097214,7.941739476367271e-05,0.0003121925173468,True,1.284510180972821
CLUSTER_008,senal_mezclilla_o_pantalon,337,137,0.4065281899109792,0.0456359102244389,0.3608922796865403,8.908076729743316,3.1551139848369085,54.01076086956522,37.26411240308358,76.80593804921476,1.5665654981627128e-118,7.653791433880682e-117,True,13.327630043156551
CLUSTER_008,senal_pantalon,337,121,0.3590504451038576,0.0366583541147132,0.3223920909891443,9.79450533922768,3.2919726325986542,78.57674501424502,49.64792021091687,120.18064969132044,1.0271858706025571e-112,4.391219596825933e-111,True,11.6743653455277
CLUSTER_008,maquila,337,188,0.5578635014836796,0.1468827930174563,0.4109807084662232,3.798018066128277,1.925246768007601,10.29533548678639,8.09735871570123,13.043230100127468,3.484936664975946e-78,1.1918483394217735e-76,True,10.848926429334364
CLUSTER_008,actividad_confeccion,337,289,0.857566765578635,0.3895261845386533,0.4680405810399816,2.201563847612245,1.1385286845191238,11.351139041633935,8.239164535505225,15.365121725100405,1.096377356255272e-76,3.4087368712663914e-75,True,9.058919659561282
CLUSTER_008,scian_textil,337,310,0.9198813056379822,0.6044887780548629,0.3153925275831193,1.5217508397724044,0.6057321619617108,8.467185255264726,5.607681772101596,12.366017037388271,3.198626799600443e-42,5.757528239280798e-41,True,3.3636661141633506
CLUSTER_009,actividad_tejido_hilado,30,24,0.8,0.0895261845386533,0.7104738154613467,8.935933147632312,3.159618392631869,43.52238805970149,17.124920637067923,97.95036170762413,1.2293938017456487e-20,1.2740990309000362e-19,True,10.997357183121954
CLUSTER_009,scian_textil,30,30,1.0,0.6044887780548629,0.3955112219451371,1.654290429042904,0.7262125378693316,inf,2.4695184371131726,661.4512891799556,3.8001114590461684e-07,1.8566258842768424e-06,True,1.5731972563967445
CLUSTER_010,actividad_tejido_hilado,142,135,0.9507042253521126,0.0895261845386533,0.8611780408134593,10.619286751147554,3.40861496506538,313.7372448979592,138.8903247038463,619.3373747162826,9.567027641479225e-143,8.179808633464737e-141,True,34.1065489519757
